"inv_id","inv_dono","inv_nome","inv_nome_item","inv_mod","inv_slots","inv_gold","nome_da","inv_type","inv_loot","inv_capacidade","inv_atk","inv_def","inv_pw","inv_hp_min","inv_hp_max","inv_mp_min","inv_mp_max","inv_tipo","inv_kit","inv_shop","inv_cod_1","inv_cod_2","inv_cod_3","inv_cod_final"
"1","hiro_nakamura","../../static/06.png                                                                                                                                                                                                                                       ","Cabeça Daemon #1                                                                                                                                                                                                                                          ","0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","1","0","The_Begin                                                                                                                                                                                                                                                 ","head                                                                                                                                                                                                                                                      ","0","0","0","0","0","0","0","0","0","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                "
"23","hiro_nakamura","../../static/draconatoAZA.png                                                                                                                                                                                                                             ","Draconato AZA                                                                                                                                                                                                                                             ","2HP;4ATK;3DEF;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","1","1","Enemy_level_1                                                                                                                                                                                                                                             ","Monstro                                                                                                                                                                                                                                                   ","0","0","400","300","700","0","200","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
"24","hiro_nakamura","../../static/LAPIDE-12metros-D.png                                                                                                                                                                                                                        ","Lapide 12 metros                                                                                                                                                                                                                                          ","altura 12 metros;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","1","260","Initial                                                                                                                                                                                                                                                   ","Save                                                                                                                                                                                                                                                      ","0","0","0","0","0","0","0","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
"25","hiro_nakamura","../../static/CAIXAO-3000DEF3000PW-D.png                                                                                                                                                                                                                   ","Caixao  3000 DEF 3000 PW                                                                                                                                                                                                                                  ","3000DEF;3000PW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","1","9000","Initial                                                                                                                                                                                                                                                   ","Save                                                                                                                                                                                                                                                      ","0","0","0","3000","3000","0","0","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
"26","hiro_nakamura","../../static/LAPIDE-25cm-D.png                                                                                                                                                                                                                            ","Lapide amaldioada                                                                                                                                                                                                                                         ","altura 25cm;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ","1","80000","Initial                                                                                                                                                                                                                                                   ","Save                                                                                                                                                                                                                                                      ","0","0","0","0","0","0","0","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
"27","hiro_nakamura","../../static/CAIXAO-ruina-embutida-D.png                                                                                                                                                                                                                  ","Caixao  Runico                                                                                                                                                                                                                                            ","500000PW;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ","1","2000000","Initial                                                                                                                                                                                                                                                   ","Save                                                                                                                                                                                                                                                      ","0","0","0","0","5000000","0","0","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
