"inv_id","inv_dono","inv_nome","inv_nome_item","inv_mod","inv_slots","inv_gold","nome_da","inv_type","inv_loot","inv_capacidade","inv_atk","inv_def","inv_pw","inv_hp_min","inv_hp_max","inv_mp_min","inv_mp_max","inv_tipo","inv_kit","inv_shop","inv_cod_1","inv_cod_2","inv_cod_3","inv_cod_final"
"1","root                                                                                                                                                                                                                                                      ","../../static/draconatoAZA.png                                                                                                                                                                                                                          ","Draconato AZA                                                                                                                                                                                                                                             ","2HP;4ATK;3DEF;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","1","1","Enemy_level_1                                                                                                                                                                                                                                             ","Monstro                                                                                                                                                                                                                                                   ","0","0","400","300","700","0","200","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
"2","root                                                                                                                                                                                                                                                      ","../../static/IAROM.png                                                                                                                                                                                                                                 ","Elmo de celceya BRO                                                                                                                                                                                                                                       ","no                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","1","100000","Arsenal_Oculto                                                                                                                                                                                                                                            ","head                                                                                                                                                                                                                                                      ","0","0","8000","4500","0","0","0","0","0","elmo fusion                                                                                                                                                                                                                                               ","irmãos celceya                                                                                                                                                                                                                                            ","arsenal oculto / PEÇA                                                                                                                                                                                                                                     ","ASL                                                                                                                                                                                                                                                       ","W&ASHP                                                                                                                                                                                                                                                    ","00000175                                                                                                                                                                                                                                                  ","ASLW&ASHP00000175                                                                                                                                                                                                                                         "
"3","root                                                                                                                                                                                                                                                      ","../../static/06.png                                                                                                                                                                                                                                    ","Cabeça Daemon #1                                                                                                                                                                                                                                          ","0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","1","0","The_Begin                                                                                                                                                                                                                                                 ","head                                                                                                                                                                                                                                                      ","0","0","0","0","0","0","0","0","0","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                ","../img_geral/braso_ini.png                                                                                                                                                                                                                                "
"4","root                                                                                                                                                                                                                                                      ","../../static/anjoSONOLENTO01.png                                                                                                                                                                                                                       ","Carta A estátua do anjo sonolento #1                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","1","2000000","Bulls_from_north                                                                                                                                                                                                                                          ","Monstro                                                                                                                                                                                                                                                   ","0","0","1500","2000","3500","0","8000","0","100","boss                                                                                                                                                                                                                                                      ","estátua anjo sonolento                                                                                                                                                                                                                                    ","Bulls from north                                                                                                                                                                                                                                          ","FBS                                                                                                                                                                                                                                                       ","BLLNTH                                                                                                                                                                                                                                                    ","00000002                                                                                                                                                                                                                                                  ","FBSBLLNTH00000002\r\n                                                                                                                                                                                                                                     "
"5","root                                                                                                                                                                                                                                                      ","../../static/16.png                                                                                                                                                                                                                                    ","Chave Geral Hotel Golden Star                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","1","1","Item_hunter                                                                                                                                                                                                                                               ","item                                                                                                                                                                                                                                                      ","0","0","0","0","0","0","0","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
"6","root                                                                                                                                                                                                                                                      ","../../static/17.png                                                                                                                                                                                                                                    ","Bilhete #1                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","1","0","Item_hunter                                                                                                                                                                                                                                               ","item                                                                                                                                                                                                                                                      ","0","0","0","0","0","0","0","0","0","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
